observation_id,listing_id,date,price_inr,in_stock,shipping_cost_inr,is_local_quote,sku_id,retailer_id,chipset,brand,model_name,vram_gb,msrp_inr,is_reference_spec,total_effective_price_inr,msrp_premium_ratio,ref_sku_daily_price_inr,premium_over_reference,price_lag_1d,price_diff_lag_1d,price_lag_3d,price_diff_lag_3d,price_lag_7d,price_diff_lag_7d,price_lag_14d,price_diff_lag_14d,rolling_median_3d,rolling_std_3d,price_volatility_3d,rolling_median_7d,rolling_std_7d,price_volatility_7d,rolling_median_14d,rolling_std_14d,price_volatility_14d,usd_inr_rate,crypto_mining_index,silicon_supply_index,import_duty_rate
OBS-1008,LST-5060TI-16G-ASUS-MD,2026-06-01,64200,True,0,False,RTX5060TI-16G-ASUS-DUAL,MDCOMPUTERS,RTX 5060 Ti,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,16,49999,False,64200,1.284,81500.0,0.7877,,,,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,83.5,50.2,100.0,0.18
OBS-1009,LST-5060TI-16G-ASUS-PRIME,2026-06-01,64600,True,250,False,RTX5060TI-16G-ASUS-DUAL,PRIMEABGB,RTX 5060 Ti,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,16,49999,False,64850,1.297,81500.0,0.7957,64200.0,650.0,,,,,,,64200.0,0.0,0.0,64200.0,0.0,0.0,64200.0,0.0,0.0,83.5,50.2,100.0,0.18
OBS-1021,LST-5060TI-16G-ASUS-MD,2026-06-05,66200,True,0,False,RTX5060TI-16G-ASUS-DUAL,MDCOMPUTERS,RTX 5060 Ti,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,16,49999,False,66200,1.324,84000.0,0.7881,64850.0,1350.0,,,,,,,64525.0,459.6194077712559,0.0071,64525.0,459.6194077712559,0.0071,64525.0,459.6194077712559,0.0071,83.55,51.1,99.5,0.18
OBS-1022,LST-5060TI-16G-ASUS-PRIME,2026-06-05,66600,True,250,False,RTX5060TI-16G-ASUS-DUAL,PRIMEABGB,RTX 5060 Ti,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,16,49999,False,66850,1.337,84000.0,0.7958,66200.0,650.0,64200.0,2650.0,,,,,64850.0,1020.2123961868584,0.0157,64850.0,1020.2123961868584,0.0157,64850.0,1020.2123961868584,0.0157,83.55,51.1,99.5,0.18
OBS-1034,LST-5060TI-16G-ASUS-MD,2026-06-10,68800,True,0,False,RTX5060TI-16G-ASUS-DUAL,MDCOMPUTERS,RTX 5060 Ti,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,16,49999,False,68800,1.376,87500.0,0.7863,66850.0,1950.0,64850.0,3950.0,,,,,66200.0,1020.212396186856,0.0154,65525.0,1214.1526537740895,0.0185,65525.0,1214.1526537740895,0.0185,83.62,49.8,99.1,0.18
OBS-1035,LST-5060TI-16G-ASUS-PRIME,2026-06-10,69200,True,250,False,RTX5060TI-16G-ASUS-DUAL,PRIMEABGB,RTX 5060 Ti,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,16,49999,False,69450,1.389,87500.0,0.7937,68800.0,650.0,66200.0,3250.0,,,,,66850.0,1353.0828996529842,0.0202,66200.0,1802.9836383062377,0.0272,66200.0,1802.9836383062377,0.0272,83.62,49.8,99.1,0.18
OBS-1047,LST-5060TI-16G-ASUS-MD,2026-06-15,71800,True,0,False,RTX5060TI-16G-ASUS-DUAL,MDCOMPUTERS,RTX 5060 Ti,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,16,49999,False,71800,1.436,91200.0,0.7873,69450.0,2350.0,66850.0,4950.0,,,,,68800.0,1353.0828996529842,0.0197,66525.0,2093.501850966461,0.0315,66525.0,2093.501850966461,0.0315,83.7,52.4,98.6,0.18
OBS-1048,LST-5060TI-16G-ASUS-PRIME,2026-06-15,72200,True,250,False,RTX5060TI-16G-ASUS-DUAL,PRIMEABGB,RTX 5060 Ti,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,16,49999,False,72450,1.449,91200.0,0.7944,71800.0,650.0,68800.0,3650.0,64200.0,8250.0,,,69450.0,1578.2374134880076,0.0227,66850.0,2707.7050553312974,0.0405,66850.0,2707.7050553312974,0.0405,83.7,52.4,98.6,0.18
OBS-1060,LST-5060TI-16G-ASUS-MD,2026-06-20,74900,True,0,False,RTX5060TI-16G-ASUS-DUAL,MDCOMPUTERS,RTX 5060 Ti,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,16,49999,False,74900,1.498,95000.0,0.7884,72450.0,2450.0,69450.0,5450.0,64850.0,10050.0,,,71800.0,1578.2374134880076,0.022,68800.0,2849.1017799266037,0.0414,67825.0,3067.4559025820913,0.0452,83.78,51.0,98.2,0.18
OBS-1061,LST-5060TI-16G-ASUS-PRIME,2026-06-20,75300,True,250,False,RTX5060TI-16G-ASUS-DUAL,PRIMEABGB,RTX 5060 Ti,ASUS,ASUS Dual GeForce RTX 5060 Ti 16GB GDDR7 OC Edition,16,49999,False,75550,1.511,95000.0,0.7953,74900.0,650.0,71800.0,3750.0,66200.0,9350.0,,,72450.0,1634.7782724271783,0.0226,69450.0,3144.5341845963762,0.0453,68800.0,3661.796007425865,0.0532,83.78,51.0,98.2,0.18
