observation_id,listing_id,date,price_inr,in_stock,shipping_cost_inr,is_local_quote
OBS-1001,LST-5060TI-16G-MD,2026-06-01,62500,true,0,false
OBS-1002,LST-5060TI-16G-PRIME,2026-06-01,62900,true,250,false
OBS-1003,LST-5060TI-16G-LOCAL,2026-06-01,61000,true,500,true
OBS-1004,LST-5060TI-8G-MD,2026-06-01,52500,true,0,false
OBS-1005,LST-5060TI-8G-VEDANT,2026-06-01,52200,true,0,false
OBS-1006,LST-5070-12G-MD,2026-06-01,81500,true,0,false
OBS-1007,LST-5070TI-16G-PRIME,2026-06-01,106500,true,250,false
OBS-1008,LST-5060TI-16G-ASUS-MD,2026-06-01,64200,true,0,false
OBS-1009,LST-5060TI-16G-ASUS-PRIME,2026-06-01,64600,true,250,false
OBS-1010,LST-5060TI-16G-MSI-SH-MD,2026-06-01,63500,true,0,false
OBS-1011,LST-5060TI-16G-MSI-SH-VEDANT,2026-06-01,63200,true,0,false
OBS-1012,LST-5060TI-16G-EAGLE-PRIME,2026-06-01,60500,true,250,false
OBS-1013,LST-5060TI-16G-EAGLE-LOCAL,2026-06-01,59200,true,500,true
OBS-1014,LST-5060TI-16G-MD,2026-06-05,64500,true,0,false
OBS-1015,LST-5060TI-16G-PRIME,2026-06-05,64900,true,250,false
OBS-1016,LST-5060TI-16G-LOCAL,2026-06-05,63000,true,500,true
OBS-1017,LST-5060TI-8G-MD,2026-06-05,54100,true,0,false
OBS-1018,LST-5060TI-8G-VEDANT,2026-06-05,53800,true,0,false
OBS-1019,LST-5070-12G-MD,2026-06-05,84000,true,0,false
OBS-1020,LST-5070TI-16G-PRIME,2026-06-05,109800,true,250,false
OBS-1021,LST-5060TI-16G-ASUS-MD,2026-06-05,66200,true,0,false
OBS-1022,LST-5060TI-16G-ASUS-PRIME,2026-06-05,66600,true,250,false
OBS-1023,LST-5060TI-16G-MSI-SH-MD,2026-06-05,65600,true,0,false
OBS-1024,LST-5060TI-16G-MSI-SH-VEDANT,2026-06-05,65300,true,0,false
OBS-1025,LST-5060TI-16G-EAGLE-PRIME,2026-06-05,62200,true,250,false
OBS-1026,LST-5060TI-16G-EAGLE-LOCAL,2026-06-05,60900,true,500,true
OBS-1027,LST-5060TI-16G-MD,2026-06-10,67000,true,0,false
OBS-1028,LST-5060TI-16G-PRIME,2026-06-10,67400,true,250,false
OBS-1029,LST-5060TI-16G-LOCAL,2026-06-10,65500,true,500,true
OBS-1030,LST-5060TI-8G-MD,2026-06-10,56200,true,0,false
OBS-1031,LST-5060TI-8G-VEDANT,2026-06-10,55900,true,0,false
OBS-1032,LST-5070-12G-MD,2026-06-10,87500,true,0,false
OBS-1033,LST-5070TI-16G-PRIME,2026-06-10,114000,true,250,false
OBS-1034,LST-5060TI-16G-ASUS-MD,2026-06-10,68800,true,0,false
OBS-1035,LST-5060TI-16G-ASUS-PRIME,2026-06-10,69200,true,250,false
OBS-1036,LST-5060TI-16G-MSI-SH-MD,2026-06-10,68200,true,0,false
OBS-1037,LST-5060TI-16G-MSI-SH-VEDANT,2026-06-10,67900,true,0,false
OBS-1038,LST-5060TI-16G-EAGLE-PRIME,2026-06-10,64500,true,250,false
OBS-1039,LST-5060TI-16G-EAGLE-LOCAL,2026-06-10,63200,true,500,true
OBS-1040,LST-5060TI-16G-MD,2026-06-15,69800,true,0,false
OBS-1041,LST-5060TI-16G-PRIME,2026-06-15,70200,true,250,false
OBS-1042,LST-5060TI-16G-LOCAL,2026-06-15,68300,true,500,true
OBS-1043,LST-5060TI-8G-MD,2026-06-15,58500,true,0,false
OBS-1044,LST-5060TI-8G-VEDANT,2026-06-15,58200,true,0,false
OBS-1045,LST-5070-12G-MD,2026-06-15,91200,true,0,false
OBS-1046,LST-5070TI-16G-PRIME,2026-06-15,118800,true,250,false
OBS-1047,LST-5060TI-16G-ASUS-MD,2026-06-15,71800,true,0,false
OBS-1048,LST-5060TI-16G-ASUS-PRIME,2026-06-15,72200,true,250,false
OBS-1049,LST-5060TI-16G-MSI-SH-MD,2026-06-15,71200,true,0,false
OBS-1050,LST-5060TI-16G-MSI-SH-VEDANT,2026-06-15,70900,true,0,false
OBS-1051,LST-5060TI-16G-EAGLE-PRIME,2026-06-15,67200,true,250,false
OBS-1052,LST-5060TI-16G-EAGLE-LOCAL,2026-06-15,65900,true,500,true
OBS-1053,LST-5060TI-16G-MD,2026-06-20,72800,true,0,false
OBS-1054,LST-5060TI-16G-PRIME,2026-06-20,73200,true,250,false
OBS-1055,LST-5060TI-16G-LOCAL,2026-06-20,71300,true,500,true
OBS-1056,LST-5060TI-8G-MD,2026-06-20,61000,true,0,false
OBS-1057,LST-5060TI-8G-VEDANT,2026-06-20,60700,true,0,false
OBS-1058,LST-5070-12G-MD,2026-06-20,95000,true,0,false
OBS-1059,LST-5070TI-16G-PRIME,2026-06-20,123500,true,250,false
OBS-1060,LST-5060TI-16G-ASUS-MD,2026-06-20,74900,true,0,false
OBS-1061,LST-5060TI-16G-ASUS-PRIME,2026-06-20,75300,true,250,false
OBS-1062,LST-5060TI-16G-MSI-SH-MD,2026-06-20,74500,true,0,false
OBS-1063,LST-5060TI-16G-MSI-SH-VEDANT,2026-06-20,74200,true,0,false
OBS-1064,LST-5060TI-16G-EAGLE-PRIME,2026-06-20,70100,true,250,false
OBS-1065,LST-5060TI-16G-EAGLE-LOCAL,2026-06-20,68800,true,500,true
OBS-1066,LST-5060TI-16G-MD,2026-06-25,75800,true,0,false
OBS-1067,LST-5060TI-16G-PRIME,2026-06-25,76200,true,250,false
OBS-1068,LST-5060TI-16G-LOCAL,2026-06-25,74300,true,500,true
OBS-1069,LST-5060TI-8G-MD,2026-06-25,63500,true,0,false
OBS-1070,LST-5060TI-8G-VEDANT,2026-06-25,63200,true,0,false
OBS-1071,LST-5070-12G-MD,2026-06-25,98900,true,0,false
OBS-1072,LST-5070TI-16G-PRIME,2026-06-25,128500,true,250,false
OBS-1073,LST-5060TI-16G-ASUS-MD,2026-06-25,78000,true,0,false
OBS-1074,LST-5060TI-16G-ASUS-PRIME,2026-06-25,78400,true,250,false
OBS-1075,LST-5060TI-16G-MSI-SH-MD,2026-06-25,77800,true,0,false
OBS-1076,LST-5060TI-16G-MSI-SH-VEDANT,2026-06-25,77500,true,0,false
OBS-1077,LST-5060TI-16G-EAGLE-PRIME,2026-06-25,73000,true,250,false
OBS-1078,LST-5060TI-16G-EAGLE-LOCAL,2026-06-25,71700,true,500,true
OBS-1079,LST-5060TI-16G-MD,2026-06-30,78800,true,0,false
OBS-1080,LST-5060TI-16G-PRIME,2026-06-30,79200,true,250,false
OBS-1081,LST-5060TI-16G-LOCAL,2026-06-30,77300,true,500,true
OBS-1082,LST-5060TI-8G-MD,2026-06-30,66000,true,0,false
OBS-1083,LST-5060TI-8G-VEDANT,2026-06-30,65700,true,0,false
OBS-1084,LST-5070-12G-MD,2026-06-30,102800,true,0,false
OBS-1085,LST-5070TI-16G-PRIME,2026-06-30,133600,true,250,false
OBS-1086,LST-5060TI-16G-ASUS-MD,2026-06-30,81200,true,0,false
OBS-1087,LST-5060TI-16G-ASUS-PRIME,2026-06-30,81600,true,250,false
OBS-1088,LST-5060TI-16G-MSI-SH-MD,2026-06-30,81100,true,0,false
OBS-1089,LST-5060TI-16G-MSI-SH-VEDANT,2026-06-30,80800,true,0,false
OBS-1090,LST-5060TI-16G-EAGLE-PRIME,2026-06-30,75900,true,250,false
OBS-1091,LST-5060TI-16G-EAGLE-LOCAL,2026-06-30,74600,true,500,true
OBS-1092,LST-5060TI-16G-MD,2026-07-05,81000,true,0,false
OBS-1093,LST-5060TI-16G-PRIME,2026-07-05,81400,true,250,false
OBS-1094,LST-5060TI-16G-LOCAL,2026-07-05,79500,true,500,true
OBS-1095,LST-5060TI-8G-MD,2026-07-05,68000,true,0,false
OBS-1096,LST-5060TI-8G-VEDANT,2026-07-05,67700,true,0,false
OBS-1097,LST-5070-12G-MD,2026-07-05,105800,true,0,false
OBS-1098,LST-5070TI-16G-PRIME,2026-07-05,137500,true,250,false
OBS-1099,LST-5060TI-16G-ASUS-MD,2026-07-05,83500,true,0,false
